glyph_a,glyph_b,a_before_b,b_before_a,total,majority,decided,guardrail
q,t,1203,10,1213,0.9918,yes,rota70_hebrew_alphagram_not_decipherment
k,s,598,598,1196,0.5000,no,rota70_hebrew_alphagram_not_decipherment
r,t,45,1104,1149,0.9608,yes,rota70_hebrew_alphagram_not_decipherment
r,y,692,455,1147,0.6033,no,rota70_hebrew_alphagram_not_decipherment
h,n,1023,60,1083,0.9446,no,rota70_hebrew_alphagram_not_decipherment
a,m,1055,13,1068,0.9878,yes,rota70_hebrew_alphagram_not_decipherment
l,q,13,1045,1058,0.9877,yes,rota70_hebrew_alphagram_not_decipherment
l,r,648,404,1052,0.6160,no,rota70_hebrew_alphagram_not_decipherment
h,q,17,1031,1048,0.9838,yes,rota70_hebrew_alphagram_not_decipherment
i,y,328,695,1023,0.6794,no,rota70_hebrew_alphagram_not_decipherment
n,q,2,958,960,0.9979,yes,rota70_hebrew_alphagram_not_decipherment
r,s,149,803,952,0.8435,no,rota70_hebrew_alphagram_not_decipherment
p,y,821,116,937,0.8762,no,rota70_hebrew_alphagram_not_decipherment
c,q,14,916,930,0.9849,yes,rota70_hebrew_alphagram_not_decipherment
e,p,155,701,856,0.8189,no,rota70_hebrew_alphagram_not_decipherment
n,t,22,830,852,0.9742,yes,rota70_hebrew_alphagram_not_decipherment
c,n,806,42,848,0.9505,yes,rota70_hebrew_alphagram_not_decipherment
s,t,287,507,794,0.6385,no,rota70_hebrew_alphagram_not_decipherment
e,n,672,25,697,0.9641,yes,rota70_hebrew_alphagram_not_decipherment
d,p,24,613,637,0.9623,yes,rota70_hebrew_alphagram_not_decipherment
q,r,630,5,635,0.9921,yes,rota70_hebrew_alphagram_not_decipherment
m,o,29,605,634,0.9543,yes,rota70_hebrew_alphagram_not_decipherment
l,n,583,46,629,0.9269,no,rota70_hebrew_alphagram_not_decipherment
n,s,35,585,620,0.9435,no,rota70_hebrew_alphagram_not_decipherment
a,p,33,570,603,0.9453,no,rota70_hebrew_alphagram_not_decipherment
n,y,86,360,446,0.8072,no,rota70_hebrew_alphagram_not_decipherment
i,p,17,424,441,0.9615,yes,rota70_hebrew_alphagram_not_decipherment
l,p,58,379,437,0.8673,no,rota70_hebrew_alphagram_not_decipherment
f,h,299,111,410,0.7293,no,rota70_hebrew_alphagram_not_decipherment
f,o,163,224,387,0.5788,no,rota70_hebrew_alphagram_not_decipherment
p,r,353,13,366,0.9645,yes,rota70_hebrew_alphagram_not_decipherment
n,r,18,346,364,0.9505,yes,rota70_hebrew_alphagram_not_decipherment
c,f,151,205,356,0.5758,no,rota70_hebrew_alphagram_not_decipherment
d,m,304,15,319,0.9530,yes,rota70_hebrew_alphagram_not_decipherment
f,y,236,34,270,0.8741,no,rota70_hebrew_alphagram_not_decipherment
h,m,252,16,268,0.9403,no,rota70_hebrew_alphagram_not_decipherment
q,s,227,9,236,0.9619,yes,rota70_hebrew_alphagram_not_decipherment
k,m,230,4,234,0.9829,yes,rota70_hebrew_alphagram_not_decipherment
c,m,211,14,225,0.9378,no,rota70_hebrew_alphagram_not_decipherment
e,f,74,150,224,0.6696,no,rota70_hebrew_alphagram_not_decipherment
p,s,176,44,220,0.8000,no,rota70_hebrew_alphagram_not_decipherment
e,m,192,5,197,0.9746,yes,rota70_hebrew_alphagram_not_decipherment
m,t,4,190,194,0.9794,yes,rota70_hebrew_alphagram_not_decipherment
p,q,0,190,190,1.0000,yes,rota70_hebrew_alphagram_not_decipherment
k,t,64,124,188,0.6596,no,rota70_hebrew_alphagram_not_decipherment
n,p,3,184,187,0.9840,yes,rota70_hebrew_alphagram_not_decipherment
l,m,172,5,177,0.9718,yes,rota70_hebrew_alphagram_not_decipherment
a,f,10,148,158,0.9367,no,rota70_hebrew_alphagram_not_decipherment
m,r,10,147,157,0.9363,no,rota70_hebrew_alphagram_not_decipherment
d,f,10,141,151,0.9338,no,rota70_hebrew_alphagram_not_decipherment
f,l,92,48,140,0.6571,no,rota70_hebrew_alphagram_not_decipherment
i,m,119,4,123,0.9675,yes,rota70_hebrew_alphagram_not_decipherment
m,y,27,69,96,0.7188,no,rota70_hebrew_alphagram_not_decipherment
f,r,92,3,95,0.9684,yes,rota70_hebrew_alphagram_not_decipherment
f,i,86,2,88,0.9773,yes,rota70_hebrew_alphagram_not_decipherment
m,s,5,83,88,0.9432,no,rota70_hebrew_alphagram_not_decipherment
g,o,7,81,88,0.9205,no,rota70_hebrew_alphagram_not_decipherment
f,s,44,38,82,0.5366,no,rota70_hebrew_alphagram_not_decipherment
e,g,76,1,77,0.9870,yes,rota70_hebrew_alphagram_not_decipherment
m,q,0,76,76,1.0000,yes,rota70_hebrew_alphagram_not_decipherment
k,p,19,57,76,0.7500,no,rota70_hebrew_alphagram_not_decipherment
a,g,65,3,68,0.9559,yes,rota70_hebrew_alphagram_not_decipherment
g,h,3,56,59,0.9492,no,rota70_hebrew_alphagram_not_decipherment
c,g,50,3,53,0.9434,no,rota70_hebrew_alphagram_not_decipherment
p,t,25,26,51,0.5098,no,rota70_hebrew_alphagram_not_decipherment
f,q,3,47,50,0.9400,no,rota70_hebrew_alphagram_not_decipherment
d,g,48,1,49,0.9796,yes,rota70_hebrew_alphagram_not_decipherment
m,p,1,44,45,0.9778,yes,rota70_hebrew_alphagram_not_decipherment
f,n,42,1,43,0.9767,yes,rota70_hebrew_alphagram_not_decipherment
b,e,1,38,39,0.9744,yes,rota70_hebrew_alphagram_not_decipherment
g,l,2,36,38,0.9474,no,rota70_hebrew_alphagram_not_decipherment
g,k,2,27,29,0.9310,no,rota70_hebrew_alphagram_not_decipherment
g,t,0,29,29,1.0000,yes,rota70_hebrew_alphagram_not_decipherment
f,k,11,12,23,0.5217,no,rota70_hebrew_alphagram_not_decipherment
g,i,5,18,23,0.7826,no,rota70_hebrew_alphagram_not_decipherment
g,y,2,21,23,0.9130,no,rota70_hebrew_alphagram_not_decipherment
f,m,21,0,21,1.0000,yes,rota70_hebrew_alphagram_not_decipherment
g,r,2,19,21,0.9048,no,rota70_hebrew_alphagram_not_decipherment
f,p,5,15,20,0.7500,no,rota70_hebrew_alphagram_not_decipherment
g,s,1,15,16,0.9375,no,rota70_hebrew_alphagram_not_decipherment
o,x,8,8,16,0.5000,no,rota70_hebrew_alphagram_not_decipherment
m,n,2,11,13,0.8462,no,rota70_hebrew_alphagram_not_decipherment
a,x,7,6,13,0.5385,no,rota70_hebrew_alphagram_not_decipherment
r,x,4,8,12,0.6667,no,rota70_hebrew_alphagram_not_decipherment
b,o,2,9,11,0.8182,no,rota70_hebrew_alphagram_not_decipherment
f,t,5,6,11,0.5455,no,rota70_hebrew_alphagram_not_decipherment
b,h,0,10,10,1.0000,yes,rota70_hebrew_alphagram_not_decipherment
a,j,6,3,9,0.6667,no,rota70_hebrew_alphagram_not_decipherment
e,u,9,0,9,1.0000,yes,rota70_hebrew_alphagram_not_decipherment
a,z,5,4,9,0.5556,no,rota70_hebrew_alphagram_not_decipherment
g,m,5,3,8,0.6250,no,rota70_hebrew_alphagram_not_decipherment
b,c,0,8,8,1.0000,yes,rota70_hebrew_alphagram_not_decipherment
e,x,4,3,7,0.5714,no,rota70_hebrew_alphagram_not_decipherment
g,p,0,6,6,1.0000,yes,rota70_hebrew_alphagram_not_decipherment
j,o,0,6,6,1.0000,yes,rota70_hebrew_alphagram_not_decipherment
j,y,6,0,6,1.0000,yes,rota70_hebrew_alphagram_not_decipherment
o,z,4,2,6,0.6667,no,rota70_hebrew_alphagram_not_decipherment
g,q,0,6,6,1.0000,yes,rota70_hebrew_alphagram_not_decipherment
h,x,6,0,6,1.0000,yes,rota70_hebrew_alphagram_not_decipherment
s,x,5,1,6,0.8333,no,rota70_hebrew_alphagram_not_decipherment
d,u,6,0,6,1.0000,yes,rota70_hebrew_alphagram_not_decipherment
c,u,5,0,5,1.0000,yes,rota70_hebrew_alphagram_not_decipherment
h,u,5,0,5,1.0000,yes,rota70_hebrew_alphagram_not_decipherment
l,x,3,2,5,0.6000,no,rota70_hebrew_alphagram_not_decipherment
i,j,2,3,5,0.6000,no,rota70_hebrew_alphagram_not_decipherment
