folio,element_desc,object_type,visual_feature2,label_token,label_locus,annotation_confidence,semantic_guardrail
f88v,2nd row: red striped root,root,red_pigment,cheosdy,f88v.13,uncertain,rota63_cross_modal_not_decipherment
f88v,2nd row: green-leaf root,whole_plant,single,okaiin,f88v.14,uncertain,rota63_cross_modal_not_decipherment
f88v,mid panel root with green foliage,whole_plant,single,otoray,f88v.12,uncertain,rota63_cross_modal_not_decipherment
f88v,lower panel: feathery branched root,root,multiple,otdordy,f88v.29,uncertain,rota63_cross_modal_not_decipherment
f88v,lower panel: large root mass,root,multiple,dararda,f88v.30,uncertain,rota63_cross_modal_not_decipherment
f67r2,ring star glyph (8-pointed gold star),star,single,qotoear,f67r2.52,medium,rota63_cross_modal_not_decipherment
f67r2,ring star glyph,star,single,dchdar,f67r2.53,medium,rota63_cross_modal_not_decipherment
f67r2,ring star glyph,star,single,ytodal,f67r2.55,medium,rota63_cross_modal_not_decipherment
f67r2,ring star glyph,star,single,octhys,f67r2.60,uncertain,rota63_cross_modal_not_decipherment
f67r2,ring star glyph,star,single,ytokar,f67r2.61,uncertain,rota63_cross_modal_not_decipherment
f67r2,ring star glyph,star,single,otolor,f67r2.62,uncertain,rota63_cross_modal_not_decipherment
f67r2,ring star glyph,star,single,okodar,f67r2.63,uncertain,rota63_cross_modal_not_decipherment
f67r2,outer-ring scattered star w/ label,star,single,osar,f67r2.70,uncertain,rota63_cross_modal_not_decipherment
f67r2,outer-ring scattered star w/ label,star,single,oran,f67r2.71,uncertain,rota63_cross_modal_not_decipherment
f67v1,corner roundel: paired figures/faces joined by bar,figure_roundel,multiple,okal.ary,f67v1.3,medium,rota63_cross_modal_not_decipherment
f67v1,corner roundel: paired figures/faces joined by bar,figure_roundel,multiple,okol.aldy,f67v1.5,medium,rota63_cross_modal_not_decipherment
f67v1,corner roundel figure label,figure_roundel,multiple,ykeodar,f67v1.7,uncertain,rota63_cross_modal_not_decipherment
f67v1,corner roundel figure label,figure_roundel,multiple,ockhosam,f67v1.9,uncertain,rota63_cross_modal_not_decipherment
f67v1,radial arm end: blue-tipped spray/burst,spray,single,kochardy,f67v1.10,uncertain,rota63_cross_modal_not_decipherment
f67v1,radial arm end: spray/burst,spray,single,ochodare,f67v1.11,uncertain,rota63_cross_modal_not_decipherment
