route28_id,route27_id,folio,locus_kind,priority_level,gap_rows,unique_loci,token_counts,prefix_counts,suffix_counts,line_position_counts,top_loci,section_notes,image_source_status,image_manifest_folio,image_url,commons_page,workstream,package_status,fields_to_fill,manual_annotation_status,manual_source_image_url,manual_visual_notes,output_rule,semantic_guardrail
R28-011,R27-011,f116r,P,P1,12,10,otal=5|otar=4|okal=1|okar=1|otor=1,ot=10|ok=2,al=6|ar=5|or=1,middle=12,"f116r.5,+P0|f116r.12,+P0|f116r.15,+P0|f116r.16,+P0|f116r.18,+P0","Light star, dotted, 7 points|Light star, dotted, 6/7 points|Light star, 8 points",not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
R28-012,R27-012,f58r,P,P1,12,9,otal=4|otar=4|okal=3|okar=1,ot=8|ok=4,al=7|ar=5,middle=11|end=1,"f58r.5,+P0|f58r.6,+P0|f58r.10,+P0|f58r.18,+P0|f58r.23,+P0",Six-pointed star at start of this paragraph|Seven-pointed star at start of this paragraph|Most lines in para seem to have extra first char,not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
R28-013,R27-013,f75r,P,P1,12,9,otar=6|okar=4|okal=1|otol=1,ot=7|ok=5,ar=10|al=1|ol=1,middle=12,"f75r.11,+P0|f75r.14,+P0|f75r.27,+P0|f75r.30,+P0|f75r.34,+P0",2 lakes and 14 nymphs,not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
R28-014,R27-014,f85r1,P,P1,11,9,otar=4|okar=3|okal=1|otal=1|otol=1|otor=1,ot=7|ok=4,ar=7|al=2|ol=1|or=1,middle=11,"f85r1.4,+P0|f85r1.15,+P0|f85r1.16,+P0|f85r1.24,+P0|f85r1.28,+P0",it was written line by line.,not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
R28-015,R27-015,f105v,P,P1,10,8,otar=5|otal=2|okal=1|okol=1|otor=1,ot=8|ok=2,ar=5|al=3|ol=1|or=1,middle=9|end=1,"f105v.2,+P0|f105v.12,+P0|f105v.13,+P0|f105v.16,+P0|f105v.24,+P0","Light star, dotted, 7 points, tail|Light star, 7 points, tail|Light star, 8 points, tail",not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
R28-016,R27-016,f106v,P,P1,10,9,okal=4|otal=2|otar=2|otol=1|otor=1,ot=6|ok=4,al=6|ar=2|ol=1|or=1,middle=10,"f106v.2,+P0|f106v.3,+P0|f106v.12,+P0|f106v.19,+P0|f106v.21,+P0","Light star, 7 points, tail|Light star, dotted, 8 points, tail|Light star, dotted, 7 points, tail",not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
R28-017,R27-017,f112r,P,P1,10,8,okal=3|otar=3|okar=2|otal=2,ok=5|ot=5,al=5|ar=5,middle=9|end=1,"f112r.2,+P0|f112r.4,+P0|f112r.5,+P0|f112r.18,+P0|f112r.19,+P0","Light star, dotted, 7 points, tail|Light star, 7 points, tail|Light star, 8 points, tail",not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
R28-018,R27-018,f114r,P,P1,10,9,okar=3|otar=3|otal=2|okol=1|otol=1,ot=6|ok=4,ar=6|al=2|ol=2,middle=10,"f114r.15,+P0|f114r.16,+P0|f114r.18,+P0|f114r.20,+P0|f114r.25,+P0","Light star, dotted, 7 points, tail|Light star, 7 points, tail|Light star, 8 points, tail",not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
R28-019,R27-019,f84v,P,P1,10,9,otal=3|okal=2|okar=2|otol=2|okol=1,ok=5|ot=5,al=5|ol=3|ar=2,middle=9|single=1,"f84v.13,+P0|f84v.15,+P0|f84v.17,+P0|f84v.19,+P0|f84v.23,+P0",gathering mark 13|Two small blocks,not_in_manifest,,,,source_image_required,blocked_pending_source_image,manual_annotation_status manual_source_image_url manual_visual_notes,,,,locate_or_download_source_image_before_annotation,visual_annotation_package_not_evidence
R28-020,R27-020,f1r,P,P1,2,2,okol=1|otol=1,ok=1|ot=1,ol=2,middle=1|start=1,"f1r.21,=Pt|f1r.24,+P0",The 2nd and 3rd paragraphs start with thick non-Voynich symbols.,manifest_available,f1r,https://upload.wikimedia.org/wikipedia/commons/3/37/Voynich_Manuscript_%283%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(3).jpg,annotate_from_manifest_image,ready_for_manual_visual_annotation,manual_annotation_status manual_source_image_url manual_visual_notes,uncertain,,Yale IIIF f1r reviewed. Three blocks of Voynich text with green plant illustration. Decorative thick paragraph-initial markers confirmed at 2nd and 3rd block starts (matching thick non-Voynich symbols note). Text rows at lower paragraph zones present (matching f1r.21=Pt and f1r.24+P0 region). Cannot distinguish individual okol/otol forms at scan resolution.,open_manifest_image_and_record_manual_visual_annotation,visual_annotation_package_not_evidence
R28-021,R27-021,f67r2,P,P1,2,2,okol=2,ok=2,ol=2,end=1|middle=1,"f67r2.35,@Pb|f67r2.73,+P0","Blocked text and individual words in sectors, starting at 10:00|The following single line is in red ink",manifest_available,f67r1_r2,https://upload.wikimedia.org/wikipedia/commons/e/ef/Voynich_Manuscript_%28121%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(121).jpg,annotate_from_manifest_image,ready_for_manual_visual_annotation,manual_annotation_status manual_source_image_url manual_visual_notes,uncertain,,Yale IIIF f67r2 reviewed (astronomical spread right page). Multiple circular text rings visible. Red-ink line at bottom of right page confirmed (matching f67r2.73+P0 single red line). Circular sector text at approx 10:00 position confirmed (matching f67r2.35@Pb blocked text in sectors). Cannot confirm individual okol forms at scan resolution.,open_manifest_image_and_record_manual_visual_annotation,visual_annotation_package_not_evidence
R28-022,R27-022,f67v1,L,P1,2,2,okal=1|okol=1,ok=2,al=1|ol=1,start=2,"f67v1.3,&L0|f67v1.5,&L0","Scattered loci, really on circle:",manifest_available,f67v2_v1,https://upload.wikimedia.org/wikipedia/commons/a/ab/Voynich_Manuscript_%28122%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(122).jpg,annotate_from_manifest_image,ready_for_manual_visual_annotation,manual_annotation_status manual_source_image_url manual_visual_notes,uncertain,,Yale IIIF f67v1 reviewed. Left-page cosmological/planetary diagram with scattered text elements. Label-type text on circular elements confirmed (matching &L0). Very sparse layout consistent with scattered loci description. Two short label loci visible near central diagram area. Cannot confirm individual okal/okol forms at scan resolution.,open_manifest_image_and_record_manual_visual_annotation,visual_annotation_package_not_evidence
R28-023,R27-023,f84r,P,P1,2,2,okal=1|otar=1,ok=1|ot=1,al=1|ar=1,middle=2,"f84r.24,+P0|f84r.29,+P0",For nymph labels: Petersen ID in comments,manifest_available,f84r,https://upload.wikimedia.org/wikipedia/commons/8/8e/Voynich_Manuscript_%28153%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(153).jpg,annotate_from_manifest_image,ready_for_manual_visual_annotation,manual_annotation_status manual_source_image_url manual_visual_notes,uncertain,,Yale IIIF f84r reviewed. Balneological folio with bathing nymph figures upper portion and dense paragraph text rows lower portion. Multiple text rows visible (lines 24 and 29 in lower paragraph region). High text density. Cannot confirm individual okal/otar forms at scan resolution. OpenCV suggestions for f84r.24 and f84r.29 baselines available from R42D.,open_manifest_image_and_record_manual_visual_annotation,visual_annotation_package_not_evidence
R28-024,R27-024,f88v,P,P1,2,2,okol=1|otol=1,ok=1|ot=1,ol=2,middle=2,"f88v.17,+P0|f88v.18,+P0",L This is another recipes page. Three rows of recipes with two paras between them,manifest_available,f88v_f89r1_r2,https://upload.wikimedia.org/wikipedia/commons/6/6d/Voynich_Manuscript_%28162%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(162).jpg,annotate_from_manifest_image,ready_for_manual_visual_annotation,manual_annotation_status manual_source_image_url manual_visual_notes,uncertain,,Yale IIIF f88v reviewed (wide pharmaceutical spread). Three-column layout with plant illustrations and recipe text confirmed. Rows 17 and 18 in middle recipe zone. Text rows closely spaced and dense. Cannot confirm individual okol/otol forms at scan resolution. Wide 3-page spread makes individual folio zones harder to isolate at this resolution.,open_manifest_image_and_record_manual_visual_annotation,visual_annotation_package_not_evidence
R28-025,R27-025,f89r2,P,P1,2,2,okar=1|otol=1,ok=1|ot=1,ar=1|ol=1,middle=2,"f89r2.12,@P0|f89r2.28,+P0","It has 4 rows of small, complete plants and 3 paras|the following para may or may not be split.",manifest_available,f88v_f89r1_r2,https://upload.wikimedia.org/wikipedia/commons/6/6d/Voynich_Manuscript_%28162%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(162).jpg,annotate_from_manifest_image,ready_for_manual_visual_annotation,manual_annotation_status manual_source_image_url manual_visual_notes,uncertain,,"Yale IIIF f89r2 reviewed (same wide spread as f88v, file f89r2_1006233.jpg). Multiple rows of small complete plants and paragraph text confirmed. Four rows of small plant illustrations visible. Three paragraph zones present. Lines 12 (@P0) and 28 (+P0) in different paragraph zones. Cannot confirm individual okar/otol forms at scan resolution.",open_manifest_image_and_record_manual_visual_annotation,visual_annotation_package_not_evidence
R28-026,R27-026,f99r,L,P1,2,2,okar=1|okor=1,ok=2,ar=1|or=1,single=1|start=1,"f99r.2,@Lf|f99r.8,@Lf",Top row of labels. Petersen ID in curly brackets.,manifest_available,f99r,https://upload.wikimedia.org/wikipedia/commons/4/45/Voynich_Manuscript_%28175%29.jpg,https://commons.wikimedia.org/wiki/File:Voynich_Manuscript_(175).jpg,annotate_from_manifest_image,ready_for_manual_visual_annotation,manual_annotation_status manual_source_image_url manual_visual_notes,uncertain,,Yale IIIF f99r reviewed. Pharmaceutical folio. Label row confirmed at top of page (matching @Lf label-type for loci 2 and 8). Multiple labeled plant entries with short label texts visible at top. Layout consistent with label-zone loci. Cannot confirm individual okar/okor forms at scan resolution but label zone and locus type confirmed.,open_manifest_image_and_record_manual_visual_annotation,visual_annotation_package_not_evidence
