folio,section,currier,token,nucleus
f6r,herbal,A,chor,ch
f6r,herbal,A,chotols,ch
f6r,herbal,A,kshor,sh
f6r,herbal,A,choky,ch
f6r,herbal,A,cheoeeesykeor,ch
f6r,herbal,A,cho,ch
f6r,herbal,A,sheor,sh
f6r,herbal,A,choy,ch
f6r,herbal,A,otchamyaiir,ch
f6r,herbal,A,chy,ch
f6r,herbal,A,shees,sh
f6r,herbal,A,cho,ch
f6r,herbal,A,chol,ch
f6r,herbal,A,ychol,ch
f6r,herbal,A,pchar,ch
f6r,herbal,A,sheo,sh
f6r,herbal,A,sheol,sh
f6r,herbal,A,chory,ch
f6r,herbal,A,tchor,ch
f6r,herbal,A,chy,ch
f6r,herbal,A,shor,sh
f6r,herbal,A,she,sh
f6r,herbal,A,ychar,ch
f6r,herbal,A,olchaj,ch
f6r,herbal,A,chokaiin,ch
f6r,herbal,A,shol,sh
f6r,herbal,A,chor,ch
f6r,herbal,A,ysho,sh
f6v,herbal,A,cheekarfunnyo,ch
f6v,herbal,A,shor,sh
f6v,herbal,A,chapchy,ch
f6v,herbal,A,chear,ch
f6v,herbal,A,char,ch
f6v,herbal,A,otchy,ch
f6v,herbal,A,chor,ch
f6v,herbal,A,chckhy,ch
f6v,herbal,A,qoekchar,ch
f6v,herbal,A,cheas,ch
f6v,herbal,A,kchey,ch
f6v,herbal,A,chor,ch
f6v,herbal,A,chaiin,ch
f6v,herbal,A,chol,ch
f6v,herbal,A,oechockhy,ch
f6v,herbal,A,chekchoy,ch
f6v,herbal,A,okolrychos,ch
f6v,herbal,A,shckhy,sh
f6v,herbal,A,ytchoy,ch
f6v,herbal,A,dchy,ch
f6v,herbal,A,chodam,ch
f6v,herbal,A,tchody,ch
f6v,herbal,A,shocthol,sh
f6v,herbal,A,choy,ch
f6v,herbal,A,ychos,ch
f6v,herbal,A,ychol,ch
f6v,herbal,A,ychor,ch
f6v,herbal,A,chor,ch
f6v,herbal,A,okchey,ch
f6v,herbal,A,chor,ch
f6v,herbal,A,qokchod,ch
f6v,herbal,A,ychear,ch
f6v,herbal,A,kchdy,ch
f6v,herbal,A,char,ch
f6v,herbal,A,ytchos,ch
f6v,herbal,A,shy,sh
f6v,herbal,A,chor,ch
f6v,herbal,A,chol,ch
f6v,herbal,A,tchalody,ch
f6v,herbal,A,chockhy,ch
f6v,herbal,A,chy,ch
f6v,herbal,A,ochy,ch
f6v,herbal,A,chaies,ch
f6v,herbal,A,ytchocthol,ch
f6v,herbal,A,ches,ch
f6v,herbal,A,ocholy,ch
f6v,herbal,A,kchos,ch
f6v,herbal,A,chy,ch
f6v,herbal,A,dchor,ch
f6v,herbal,A,choldar,ch
f6v,herbal,A,ycheor,ch
f6v,herbal,A,chor,ch
f7r,herbal,A,fchodaiin,ch
f7r,herbal,A,qkoshey,sh
f7r,herbal,A,sheey,sh
f7r,herbal,A,charochy,ch
f7r,herbal,A,dcheey,ch
f7r,herbal,A,shor,sh
f7r,herbal,A,dolddchey,ch
f7r,herbal,A,kchey,ch
f7r,herbal,A,otchy,ch
f7r,herbal,A,cheody,ch
f7r,herbal,A,cheodaiin,ch
f7r,herbal,A,qotchy,ch
f7r,herbal,A,chald,ch
f7r,herbal,A,qokcho,ch
f7r,herbal,A,cho,ch
f7r,herbal,A,lochey,ch
f7r,herbal,A,daiinychey,ch
f7r,herbal,A,kchos,ch
f7r,herbal,A,ksholo,sh
f7r,herbal,A,chey,ch
f7r,herbal,A,chkoldyotchor,ch
f7r,herbal,A,choaiin,ch
f7r,herbal,A,dshoy,sh
f7r,herbal,A,chol,ch
f7r,herbal,A,otchol,ch
f7r,herbal,A,dainshody,sh
f7r,herbal,A,shol,sh
f7r,herbal,A,chotchy,ch
f7r,herbal,A,okchey,ch
f7r,herbal,A,choty,ch
f7r,herbal,A,choty,ch
f7r,herbal,A,qokechy,ch
f7r,herbal,A,choiin,ch
f7r,herbal,A,chol,ch
f7r,herbal,A,cpheyshckhy,sh
f7r,herbal,A,chochy,ch
f7r,herbal,A,kchod,ch
f7r,herbal,A,chain,ch
f7r,herbal,A,chor,ch
f7r,herbal,A,chckhy,ch
f7v,herbal,A,polyshy,sh
f7v,herbal,A,shey,sh
f7v,herbal,A,tchody,ch
f7v,herbal,A,qopchy,ch
f7v,herbal,A,otshol,sh
f7v,herbal,A,tshodody,sh
f7v,herbal,A,chochy,ch
f7v,herbal,A,chy,ch
f7v,herbal,A,qokchy,ch
f7v,herbal,A,dykchy,ch
f7v,herbal,A,chkeey,ch
f7v,herbal,A,kshy,sh
f7v,herbal,A,cheey,ch
f7v,herbal,A,cheol,ch
f7v,herbal,A,choteeeb,ch
f7v,herbal,A,choschy,ch
f7v,herbal,A,sho,sh
f7v,herbal,A,kshy,sh
f7v,herbal,A,shol,sh
f7v,herbal,A,dchodaiin,ch
f7v,herbal,A,qotchy,ch
f7v,herbal,A,cheey,ch
f7v,herbal,A,tcheey,ch
f7v,herbal,A,kchor,ch
f7v,herbal,A,sheod,sh
f7v,herbal,A,sheodaiin,sh
f7v,herbal,A,sho,sh
f7v,herbal,A,oksho,sh
f7v,herbal,A,lshol,sh
f7v,herbal,A,okshodeeeb,sh
f7v,herbal,A,chorcheor,ch
f7v,herbal,A,cho,ch
f7v,herbal,A,cheeody,ch
f7v,herbal,A,qotchey,ch
f7v,herbal,A,kcho,ch
f7v,herbal,A,sho,sh
f7v,herbal,A,chokchy,ch
f8r,herbal,A,pshol,sh
f8r,herbal,A,chor,ch
f8r,herbal,A,otshal,sh
f8r,herbal,A,chopycphol,ch
f8r,herbal,A,chody,ch
f8r,herbal,A,shy,sh
f8r,herbal,A,shor,sh
f8r,herbal,A,tchty,ch
f8r,herbal,A,sh,sh
f8r,herbal,A,kcheals,ch
f8r,herbal,A,dchy,ch
f8r,herbal,A,chodar,ch
f8r,herbal,A,shy,sh
f8r,herbal,A,sychodaiin,ch
f8r,herbal,A,chor,ch
f8r,herbal,A,chor,ch
f8r,herbal,A,chor,ch
f8r,herbal,A,shesed,sh
f8r,herbal,A,chof,ch
f8r,herbal,A,chy,ch
f8r,herbal,A,okchey,ch
f8r,herbal,A,cheeey,ch
f8r,herbal,A,kyscho,ch
f8r,herbal,A,chky,ch
f8r,herbal,A,chy,ch
f8r,herbal,A,tosh,sh
f8r,herbal,A,cheey,ch
f8r,herbal,A,koltoldyshy,sh
f8r,herbal,A,choety,ch
f8r,herbal,A,cheeody,ch
f8r,herbal,A,choto,ch
f8r,herbal,A,kchoan,ch
f8r,herbal,A,choor,ch
f8r,herbal,A,dcho,ch
f8r,herbal,A,tchoep,ch
f8r,herbal,A,sho,sh
f8r,herbal,A,pcheey,ch
f8r,herbal,A,pcheyofchey,ch
f8r,herbal,A,dsheey,sh
f8r,herbal,A,sholdaiin,sh
f8r,herbal,A,shor,sh
f8r,herbal,A,cheey,ch
f8r,herbal,A,dycheocthy,ch
f8r,herbal,A,oksheo,sh
f8r,herbal,A,shol,sh
f8r,herbal,A,cheodaiin,ch
f8r,herbal,A,tchody,ch
f8r,herbal,A,chot,ch
f8r,herbal,A,choty,ch
f8r,herbal,A,chodaiin,ch
f8r,herbal,A,okokchodg,ch
f8r,herbal,A,shol,sh
f8r,herbal,A,chey,ch
f8r,herbal,A,kshey,sh
f8r,herbal,A,cholal,ch
f8r,herbal,A,dchey,ch
f8r,herbal,A,chol,ch
f8r,herbal,A,chey,ch
f8r,herbal,A,kcchy,ch
f8r,herbal,A,ychey,ch
f8r,herbal,A,kchekchy,ch
f8r,herbal,A,chsey,ch
f8r,herbal,A,kchyscheaiin,ch
f8r,herbal,A,chol,ch
f8r,herbal,A,dchy,ch
f8r,herbal,A,chlaiin,ch
f8r,herbal,A,chean,ch
f8r,herbal,A,char,ch
f8r,herbal,A,chaiin,ch
f8r,herbal,A,chaiin,ch
f8r,herbal,A,chor,ch
f8r,herbal,A,cha,ch
f8r,herbal,A,rchealcham,ch
f8r,herbal,A,cheain,ch
f8r,herbal,A,darshol,sh
f8r,herbal,A,shol,sh
f8r,herbal,A,cho,ch
f8r,herbal,A,shey,sh
f8r,herbal,A,kalchal,ch
f8r,herbal,A,schol,ch
f8v,herbal,A,shol,sh
f8v,herbal,A,chol,ch
f8v,herbal,A,opcheaiin,ch
f8v,herbal,A,shcthal,sh
f8v,herbal,A,sarchor,ch
f8v,herbal,A,sheaiin,sh
f8v,herbal,A,shor,sh
f8v,herbal,A,chykchy,ch
f8v,herbal,A,cheal,ch
f8v,herbal,A,sychorychear,ch
f8v,herbal,A,shol,sh
f8v,herbal,A,chaiin,ch
f8v,herbal,A,shaiin,sh
f8v,herbal,A,dshol,sh
f8v,herbal,A,shealy,sh
f8v,herbal,A,chary,ch
f8v,herbal,A,chol,ch
f8v,herbal,A,chol,ch
f8v,herbal,A,darotchar,ch
f8v,herbal,A,cthanytchy,ch
f8v,herbal,A,chey,ch
f8v,herbal,A,sho,sh
f8v,herbal,A,kcholdar,ch
f8v,herbal,A,shey,sh
f8v,herbal,A,chotain,ch
f8v,herbal,A,chol,ch
f8v,herbal,A,chol,ch
f8v,herbal,A,shol,sh
f8v,herbal,A,orchlchokchy,ch
f8v,herbal,A,chol,ch
f8v,herbal,A,chaiin,ch
f8v,herbal,A,scharchyoeesody,ch
f8v,herbal,A,kchey,ch
f8v,herbal,A,pchy,ch
f8v,herbal,A,pchar,ch
f8v,herbal,A,cho,ch
f8v,herbal,A,dalshear,sh
f8v,herbal,A,chchotaiin,ch
f8v,herbal,A,chal,ch
f8v,herbal,A,kchor,ch
f8v,herbal,A,otchar,ch
f8v,herbal,A,okychokain,ch
f8v,herbal,A,otorchy,ch
f8v,herbal,A,shor,sh
f8v,herbal,A,lokaiinshol,sh
f8v,herbal,A,char,ch
f8v,herbal,A,tchy,ch
f8v,herbal,A,chol,ch
f8v,herbal,A,chan,ch
f8v,herbal,A,chychor,ch
f8v,herbal,A,cheain,ch
f8v,herbal,A,char,ch
f8v,herbal,A,cheeky,ch
f8v,herbal,A,chor,ch
f8v,herbal,A,chor,ch
f8v,herbal,A,cheor,ch
f8v,herbal,A,chearoteey,ch
f8v,herbal,A,dchor,ch
f8v,herbal,A,chodey,ch
f8v,herbal,A,cho,ch
f8v,herbal,A,chear,ch
f9r,herbal,A,choly,ch
f9r,herbal,A,orchey,ch
f9r,herbal,A,shy,sh
f9r,herbal,A,saryshor,sh
f9r,herbal,A,chol,ch
f9r,herbal,A,okchody,ch
f9r,herbal,A,chaiin,ch
f9r,herbal,A,cheyctho,ch
f9r,herbal,A,yshy,sh
f9r,herbal,A,chokcho,ch
f9r,herbal,A,chcthod,ch
f9r,herbal,A,shor,sh
f9r,herbal,A,shaiin,sh
f9r,herbal,A,chor,ch
f9r,herbal,A,chokoiin,ch
f9r,herbal,A,shol,sh
f9r,herbal,A,pshoain,sh
f9r,herbal,A,sharsyshydal,sh
f9r,herbal,A,chdy,ch
f9r,herbal,A,chol,ch
f9r,herbal,A,chy,ch
f9r,herbal,A,tchy,ch
f9r,herbal,A,tchol,ch
f9r,herbal,A,chykychodar,ch
f9r,herbal,A,qotcho,ch
f9r,herbal,A,qokchy,ch
f9r,herbal,A,olshocthy,sh
f9r,herbal,A,ocho,ch
f9r,herbal,A,choy,ch
f9r,herbal,A,chodykchy,ch
f9r,herbal,A,dchydaiin,ch
f9r,herbal,A,ytchas,ch
f9r,herbal,A,chkor,ch
f9v,herbal,A,fochor,ch
f9v,herbal,A,shor,sh
f9v,herbal,A,qopchypcho,ch
f9v,herbal,A,shol,sh
f9v,herbal,A,dchor,ch
f9v,herbal,A,chkaiin,ch
f9v,herbal,A,chol,ch
f9v,herbal,A,chor,ch
f9v,herbal,A,chor,ch
f9v,herbal,A,tch,ch
f9v,herbal,A,pchor,ch
f9v,herbal,A,ypcheey,ch
f9v,herbal,A,ypchy,ch
f9v,herbal,A,toarchty,ch
f9v,herbal,A,choy,ch
f9v,herbal,A,ksheody,sh
f9v,herbal,A,chodydainotchy,ch
f9v,herbal,A,chol,ch
f9v,herbal,A,chol,ch
f9v,herbal,A,chy,ch
f9v,herbal,A,qokcho,ch
f9v,herbal,A,chy,ch
f9v,herbal,A,chyty,ch
f9v,herbal,A,kchol,ch
f9v,herbal,A,chol,ch
f9v,herbal,A,chy,ch
f9v,herbal,A,ychor,ch
f9v,herbal,A,chkaiin,ch
f9v,herbal,A,chor,ch
f10r,herbal,A,pchocthy,ch
f10r,herbal,A,shor,sh
f10r,herbal,A,chorchy,ch
f10r,herbal,A,pchodol,ch
f10r,herbal,A,chopchal,ch
f10r,herbal,A,ypch,ch
f10r,herbal,A,dchey,ch
f10r,herbal,A,char,ch
f10r,herbal,A,chty,ch
f10r,herbal,A,chair,ch
f10r,herbal,A,otytchol,ch
f10r,herbal,A,tchy,ch
f10r,herbal,A,chocthy,ch
f10r,herbal,A,qotchy,ch
f10r,herbal,A,chol,ch
f10r,herbal,A,chaiin,ch
f10r,herbal,A,chcthy,ch
f10r,herbal,A,chtchor,ch
f10r,herbal,A,qokchy,ch
