folio,locus,token,suffix,image_file_or_url,image_checked,ink_color,visual_zone,ring,sector,radius,object_nearby,visual_notes,annotation_confidence
f70v2,"f70v2.32,@Cc",dal,al,images/raw/commons_f70v2.jpg,yes,brown,circular text,zodiac ring / circular band,inner/outer text band,,zodiac nymph figures and stars,"additional exact token in circular zodiac text; exact glyph position not isolated",medium
f99v,"f99v.28,@Lf",chor,or,images/raw/supplemental_f99v.jpg,yes,brown,label,pharmaceutical label layer,,,"plant/root drawings and container-like forms","preview image only; label layer visible but exact glyph position not isolated",low
f84r,"f84r.14,+P0",or,or,images/raw/commons_f84r.jpg,yes,brown,paragraph text,body paragraph near upper green pool,,,"green pool with nymph figures and dense text","full image checked; paragraph line belongs to balneological page; exact glyph position not isolated",medium
f84r,"f84r.14,+P0",dal,al,images/raw/commons_f84r.jpg,yes,brown,paragraph text,body paragraph near upper green pool,,,"green pool with nymph figures and dense text","full image checked; paragraph line belongs to balneological page; exact glyph position not isolated",medium
f84r,"f84r.14,+P0",ol,ol,images/raw/commons_f84r.jpg,yes,brown,paragraph text,body paragraph near upper green pool,,,"green pool with nymph figures and dense text","full image checked; paragraph line belongs to balneological page; exact glyph position not isolated",medium
f84r,"f84r.15,+P0",dar,ar,images/raw/commons_f84r.jpg,yes,brown,paragraph text,body paragraph near upper green pool,,,"green pool with nymph figures and dense text","full image checked; paragraph line belongs to balneological page; exact glyph position not isolated",medium
f84r,"f84r.16,+P0",qokal,al,images/raw/commons_f84r.jpg,yes,brown,paragraph text,body paragraph near upper green pool,,,"green pool with nymph figures and dense text","full image checked; paragraph line belongs to balneological page; exact glyph position not isolated",medium
f84r,"f84r.21,+P0",okal,al,images/raw/commons_f84r.jpg,yes,brown,paragraph text,body paragraph between green pool bands,,,"green pool with nymph figures and dense text","full image checked; paragraph line belongs to balneological page; exact glyph position not isolated",medium
f84r,"f84r.22,+P0",qokal,al,images/raw/commons_f84r.jpg,yes,brown,paragraph text,body paragraph between green pool bands,,,"green pool with nymph figures and dense text","full image checked; paragraph line belongs to balneological page; exact glyph position not isolated",medium
f84r,"f84r.22,+P0",otar,ar,images/raw/commons_f84r.jpg,yes,brown,paragraph text,body paragraph between green pool bands,,,"green pool with nymph figures and dense text","full image checked; paragraph line belongs to balneological page; exact glyph position not isolated",medium
f84r,"f84r.23,+P0",dar,ar,images/raw/commons_f84r.jpg,yes,brown,paragraph text,body paragraph between green pool bands,,,"green pool with nymph figures and dense text","full image checked; paragraph line belongs to balneological page; exact glyph position not isolated",medium
f84r,"f84r.23,+P0",or,or,images/raw/commons_f84r.jpg,yes,brown,paragraph text,body paragraph between green pool bands,,,"green pool with nymph figures and dense text","full image checked; paragraph line belongs to balneological page; exact glyph position not isolated",medium
